treatment,output,code_number_tokens,code_complexity,code_num_identifiers,code_num_strings,code_num_comments,docstring_num_lines,docstring_num_words,docstring_num_sentences
0,1,19,1,1,0,0,1,39,1
1,0,46,7,5,1,0,1,7,1
0,0,7,1,0,0,0,1,6,1
1,1,18,2,2,1,0,1,8,1
1,1,32,4,3,1,0,1,13,1
0,1,59,7,1,2,0,1,5,0
1,1,23,2,3,1,0,1,8,0
1,1,93,10,9,1,0,1,10,0
1,0,18,1,5,5,0,1,35,3
0,0,15,2,2,1,0,1,7,1
0,1,30,1,5,0,0,1,30,4
1,1,69,2,4,6,0,1,20,0
1,1,18,3,1,2,0,1,8,1
0,0,41,2,6,0,0,1,2,0
0,0,15,1,4,0,0,1,27,2
1,1,139,9,13,4,0,1,8,1
0,0,44,4,4,11,0,1,7,0
0,0,59,6,10,0,0,1,8,1
0,0,13,1,2,0,0,1,10,1
0,0,25,3,3,3,0,1,7,1
0,0,27,2,4,6,0,1,5,1
1,0,26,5,2,2,0,1,5,0
1,1,52,4,3,3,0,1,19,1
1,1,126,10,19,9,0,1,46,3
1,1,124,11,12,3,0,1,20,1
1,0,116,9,7,1,0,1,13,1
1,0,51,5,10,7,0,1,53,2
0,1,39,7,1,0,0,1,3,1
0,0,33,2,6,5,0,1,8,3
1,1,90,7,14,0,0,1,7,0
0,1,10,1,0,0,0,1,14,1
0,0,12,2,1,0,0,1,6,1
1,1,22,4,1,0,0,1,53,3
0,1,54,6,4,4,0,1,36,1
0,0,28,4,2,0,0,1,8,0
1,1,19,2,4,2,0,1,11,1
0,0,17,2,0,1,0,1,11,1
0,0,11,2,2,1,0,1,7,1
0,1,51,2,5,11,0,1,13,1
1,0,88,1,2,3,0,1,8,0
0,1,10,1,0,0,0,1,9,1
0,0,24,3,4,2,0,1,5,0
0,1,17,2,2,1,0,1,18,2
1,0,87,10,4,7,0,1,23,1
0,1,29,2,1,1,0,1,27,2
1,1,56,3,5,1,0,1,36,3
0,0,35,3,4,1,0,1,9,1
0,0,11,2,0,0,0,1,10,1
1,1,52,6,6,11,0,1,5,1
1,1,61,1,1,0,0,1,48,7
1,1,22,1,1,9,0,1,7,0
1,0,41,5,0,3,0,1,11,1
1,1,41,6,3,3,0,1,12,3
0,1,17,2,1,5,0,1,13,0
1,0,70,10,2,12,0,1,10,1
1,1,67,6,14,4,0,1,6,1
1,1,36,7,3,1,0,1,12,1
0,0,14,3,1,0,0,1,7,0
0,0,7,1,0,0,0,1,10,0
0,0,23,2,2,1,0,1,5,0
0,0,26,4,1,0,0,1,7,0
1,1,10,1,3,1,0,1,7,1
0,0,19,1,1,5,0,1,7,0
0,1,70,3,6,3,0,1,9,1
0,0,27,3,2,0,0,1,12,1
1,0,30,2,2,7,0,1,16,2
1,1,12,2,1,0,0,1,9,1
1,1,17,2,1,2,0,1,18,2
1,1,16,2,2,3,0,1,10,1
1,0,10,1,0,0,0,1,8,0
1,1,33,3,10,4,0,1,9,0
1,0,13,2,2,0,0,1,8,1
0,1,26,3,3,4,0,1,19,2
1,0,70,4,0,3,0,1,11,1
0,0,9,1,2,0,0,1,4,0
0,0,58,9,1,0,0,1,33,0
1,1,60,7,9,9,0,1,35,2
0,1,38,5,4,2,0,1,18,2
1,0,19,3,3,2,0,1,19,2
1,0,76,9,6,14,0,1,9,1
1,1,73,5,4,9,0,1,29,0
0,0,27,1,2,3,0,1,13,1
0,1,21,3,2,0,0,1,12,1
1,1,36,6,0,2,0,1,14,1
0,1,7,1,0,0,0,1,8,1
0,0,43,4,0,0,0,1,21,2
0,0,53,2,14,5,0,1,48,1
0,0,12,1,0,0,0,1,13,3
1,1,74,2,7,0,0,1,27,5
1,1,141,14,5,4,0,1,10,1
1,0,32,3,6,5,0,1,18,2
1,1,26,3,2,3,0,1,33,2
1,1,94,10,5,2,0,1,5,1
0,0,27,4,2,3,0,1,12,0
0,0,20,2,3,5,0,1,9,1
1,1,20,2,2,1,0,1,10,1
1,1,25,2,3,2,0,1,7,0
1,0,12,1,3,2,0,1,6,1
0,0,24,1,4,1,0,1,10,1
1,1,50,1,8,2,0,1,14,1
0,1,29,3,2,1,0,1,8,2
1,1,19,3,1,2,0,1,8,1
0,0,7,1,1,0,0,1,4,1
1,0,104,12,13,5,0,1,28,2
1,0,15,1,1,1,0,1,7,1
0,0,14,2,3,0,0,1,9,1
1,0,28,4,1,0,0,1,17,2
0,1,7,1,2,0,0,1,3,0
1,1,199,7,12,17,0,1,20,0
0,1,21,3,3,5,0,1,17,1
0,0,116,13,6,4,0,1,21,1
1,0,96,2,17,1,0,1,19,1
1,1,6,1,2,0,0,1,13,1
1,1,13,1,1,0,0,1,13,1
1,1,87,7,7,23,0,1,12,1
1,0,10,2,1,1,0,1,8,0
1,1,43,1,2,12,0,1,10,1
0,1,50,8,2,7,0,1,2,0
0,1,29,3,0,3,0,1,5,1
1,1,33,1,5,0,0,1,3,0
0,0,63,6,6,11,0,1,41,2
1,1,22,2,4,0,0,1,11,1
1,0,100,6,11,0,0,1,10,1
0,1,50,4,4,3,0,1,13,0
1,0,78,7,7,4,0,1,7,1
0,0,15,2,2,2,0,1,9,1
0,0,24,3,2,2,0,1,4,0
1,1,25,3,3,0,0,1,6,1
1,1,15,3,1,0,0,1,8,1
0,1,33,2,6,8,0,1,43,6
1,1,64,9,5,13,0,1,4,1
0,0,100,10,12,20,0,1,41,2
0,0,18,2,1,1,0,1,7,0
0,0,43,1,5,7,0,1,3,0
0,1,18,3,3,0,0,1,4,0
1,0,30,3,5,7,0,1,9,1
0,0,20,1,0,0,0,1,13,1
1,1,36,4,2,5,0,1,12,1
0,1,46,4,10,4,0,1,5,1
0,1,17,2,2,3,0,1,21,2
1,0,37,3,2,6,0,1,8,1
1,0,11,1,3,0,0,1,3,0
0,0,31,2,5,1,0,1,6,0
0,0,12,3,0,0,0,1,16,2
0,1,42,3,2,2,0,1,21,1
1,1,63,6,9,1,0,1,9,1
0,0,20,1,4,0,0,1,6,1
1,0,8,1,0,0,0,1,9,1
0,1,34,4,3,6,0,1,10,1
0,0,9,2,1,0,0,1,6,1
1,0,12,1,2,0,0,1,6,1
0,0,32,3,4,0,0,1,12,1
1,0,20,4,1,2,0,1,18,2
1,0,28,4,2,0,0,1,4,1
1,0,91,7,9,3,0,1,21,1
1,1,65,10,6,4,0,1,14,0
1,0,40,2,4,5,0,1,11,1
0,1,47,5,2,3,0,1,8,1
0,0,81,8,5,4,0,1,8,0
0,0,12,2,1,0,0,1,11,0
1,1,11,1,0,9,0,1,6,1
0,0,44,4,7,4,0,1,5,1
0,1,23,2,3,1,0,1,14,2
1,0,137,12,16,10,0,1,9,1
0,1,43,4,5,7,0,1,9,1
0,0,14,3,0,0,0,1,16,3
1,1,98,9,6,5,0,1,41,2
1,1,25,4,1,1,0,1,23,1
1,1,65,5,2,2,0,1,13,3
1,1,29,4,3,1,0,1,1,0
0,1,47,4,3,1,0,1,66,2
0,0,65,3,12,12,0,1,23,3
1,0,32,1,4,6,0,1,4,1
1,1,8,1,0,0,0,1,15,1
0,1,53,5,3,4,0,1,33,4
1,0,9,1,2,0,0,1,20,2
1,1,32,3,3,1,0,1,9,1
1,1,57,2,10,3,0,1,8,1
0,1,85,10,6,18,0,1,21,0
0,1,15,2,1,2,0,1,11,2
0,0,88,10,5,12,0,1,6,0
0,1,60,1,1,1,0,1,7,0
0,0,10,1,1,0,0,1,16,1
1,1,51,7,3,15,0,1,6,1
1,1,13,1,3,3,0,1,2,0
0,1,33,4,1,5,0,1,8,1
0,0,20,3,2,4,0,1,7,1
0,1,10,2,0,1,0,1,25,3
0,0,43,4,3,9,0,1,11,1
0,0,16,2,2,0,0,1,19,1
1,1,65,6,5,13,0,1,38,3
1,1,20,1,6,0,0,1,8,1
0,1,11,2,1,0,0,1,19,4
0,1,9,1,1,0,0,1,10,1
0,0,20,3,4,0,0,1,9,1
1,1,34,1,2,2,0,1,9,1
1,1,18,2,1,2,0,1,8,1
0,1,25,4,0,0,0,1,16,0
1,1,10,1,1,2,0,1,20,0
0,1,16,2,4,2,0,1,8,1
1,1,18,2,1,0,0,1,16,0
1,0,24,3,3,3,0,1,4,1
1,1,39,1,9,9,0,1,7,1
1,1,62,6,7,5,0,1,45,4
1,1,21,2,1,2,0,1,8,0
1,1,54,4,2,5,0,1,13,1
1,0,101,11,2,9,0,1,2,0
1,0,35,5,5,3,0,1,9,0
0,0,29,5,1,0,0,1,9,1
1,0,42,1,4,1,0,1,14,2
0,0,14,3,0,0,0,1,59,3
1,1,7,1,0,0,0,1,7,0
1,1,39,5,2,1,0,1,11,1
1,1,11,1,2,0,0,1,15,1
0,1,43,1,5,12,0,1,21,1
1,0,47,7,3,7,0,1,22,1
1,0,41,3,14,10,0,1,9,1
1,1,21,2,1,2,0,1,8,1
0,1,65,5,4,2,0,1,17,1
0,0,10,2,1,0,0,1,20,1
1,1,33,3,2,0,0,1,17,2
0,0,24,5,0,2,0,1,19,1
1,1,10,2,0,0,0,1,6,0
0,0,52,4,2,4,0,1,6,1
1,1,52,7,2,9,0,1,6,1
0,0,7,1,1,1,0,1,23,0
0,0,28,1,7,0,0,1,7,1
1,0,25,3,1,1,0,1,9,1
0,0,16,2,5,1,0,1,12,0
1,1,17,3,1,0,0,1,5,0
1,0,109,8,8,19,0,1,4,0
1,0,29,3,5,2,0,1,11,0
0,0,36,1,7,1,0,1,70,0
1,1,17,2,0,1,0,1,23,1
0,0,8,1,2,1,0,1,4,1
1,1,18,4,1,2,0,1,7,1
0,0,61,1,1,39,0,1,3,0
1,0,35,4,3,0,0,1,9,1
1,0,19,2,2,2,0,1,5,1
1,1,64,2,14,5,0,1,9,0
0,0,27,2,4,4,0,1,8,1
1,1,45,7,2,0,0,1,5,1
1,0,144,4,17,0,0,1,13,1
1,1,107,7,15,5,0,1,8,1
